iso	hs2	year	x	x_wd	description	product_name
"BWA"	78	2023	3353826	9660041216	"Lead and articles thereof"	"LEAD AND ARTICLES THEREOF"
"BWA"	79	2000	5589	6639933440	"Zinc and articles thereof"	"ZINC AND ARTICLES THEREOF"
"BWA"	79	2023	23037	19796652032	"Zinc and articles thereof"	"ZINC AND ARTICLES THEREOF"
"BWA"	80	2000	1141	1948641152	"Tin; articles thereof"	"TIN AND ARTICLES THEREOF"
"BWA"	80	2023	771	9206086656	"Tin; articles thereof"	"TIN AND ARTICLES THEREOF"
"BWA"	81	2000	32334	7319198208	"Metals; n.e.c., cermets and articles thereof"	"OTHER BASE METALS; CERMETS; ARTICLES THEREOF"
"BWA"	81	2023	309286	23821819904	"Metals; n.e.c., cermets and articles thereof"	"OTHER BASE METALS; CERMETS; ARTICLES THEREOF"
"BWA"	82	2000	269807	29669519360	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal"	"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
"BWA"	82	2023	819108	85639405568	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal"	"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL"
"BWA"	83	2000	167103	25447237632	"Metal; miscellaneous products of base metal"	"MISCELLANEOUS ARTICLES OF BASE METAL"
"BWA"	83	2023	180276	95892586496	"Metal; miscellaneous products of base metal"	"MISCELLANEOUS ARTICLES OF BASE METAL"
"BWA"	84	2000	16747681	1072590684160	"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"	"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF"
"BWA"	84	2023	40610620	3146401972224	"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"	"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF"
"BWA"	85	2000	23500530	1091393814528	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"	"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES"
"BWA"	85	2023	181427017	4103738753024	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"	"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES"
"BWA"	86	2000	1047558	13366031360	"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"	"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS"
"BWA"	86	2023	4928510	51657043968	"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"	"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS"
"BWA"	87	2000	53021791	630473490432	"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"	"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF"
"BWA"	87	2023	27429848	2238307368960	"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"	"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF"
"BWA"	88	2000	4566759	145218027520	"Aircraft, spacecraft and parts thereof"	"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
"BWA"	88	2023	4956454	383772196864	"Aircraft, spacecraft and parts thereof"	"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
"BWA"	89	2000	130535	49012158464	"Ships, boats and floating structures"	"SHIPS, BOATS AND FLOATING STRUCTURES"
"BWA"	89	2023	836738	174316257280	"Ships, boats and floating structures"	"SHIPS, BOATS AND FLOATING STRUCTURES"
"BWA"	90	2000	989305	226941337600	"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"	"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
"BWA"	90	2023	5384954	848967172096	"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"	"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
"BWA"	91	2000	22200	21388068864	"Clocks and watches and parts thereof"	"CLOCKS AND WATCHES AND PARTS THEREOF"
"BWA"	91	2023	10693	67687555072	"Clocks and watches and parts thereof"	"CLOCKS AND WATCHES AND PARTS THEREOF"
"BWA"	92	2000	7129	4288765184	"Musical instruments; parts and accessories of such articles"	"MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES"
"BWA"	92	2023	15782	9880839168	"Musical instruments; parts and accessories of such articles"	"MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES"
"BWA"	93	2000	57194	6723621888	"Arms and ammunition; parts and accessories thereof"	"ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF"
"BWA"	93	2023	14220	32053274624	"Arms and ammunition; parts and accessories thereof"	"ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF"
"BWA"	94	2000	1116098	88509636608	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"	"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS"
"BWA"	94	2023	3683805	352199409664	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"	"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS"
"BWA"	95	2000	118377	48192901120	"Toys, games and sports requisites; parts and accessories thereof"	"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF"
"BWA"	95	2023	77068	171334189056	"Toys, games and sports requisites; parts and accessories thereof"	"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF"
"BWA"	96	2000	1682856	16220459008	"Miscellaneous manufactured articles"	"MISCELLANEOUS MANUFACTURED ARTICLES"
"BWA"	96	2023	107116	72601108480	"Miscellaneous manufactured articles"	"MISCELLANEOUS MANUFACTURED ARTICLES"
"BWA"	97	2000	5887	14426202112	"Works of art; collectors' pieces and antiques"	"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
"BWA"	97	2023	29707	41529507840	"Works of art; collectors' pieces and antiques"	"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
