iso	hs2	year	x	x_wd	description	product_name
"BWA"	15	2023	1055469	195515039744	"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes"	"ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES"
"BWA"	16	2000	976588	15707894784	"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof"	"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
"BWA"	16	2023	116505	77012099072	"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof"	"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
"BWA"	17	2000	5493480	15873186816	"Sugars and sugar confectionery"	"SUGARS AND SUGAR CONFECTIONERY"
"BWA"	17	2023	332216	74782236672	"Sugars and sugar confectionery"	"SUGARS AND SUGAR CONFECTIONERY"
"BWA"	18	2000	57913	11985622016	"Cocoa and cocoa preparations"	"COCOA AND COCOA PREPARATIONS"
"BWA"	18	2023	4977	73721085952	"Cocoa and cocoa preparations"	"COCOA AND COCOA PREPARATIONS"
"BWA"	19	2000	8099633	18913255424	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
"BWA"	19	2023	2173987	133718663168	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
"BWA"	20	2000	92490	21478154240	"Preparations of vegetables, fruit, nuts or other parts of plants"	"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
"BWA"	20	2023	979855	102005137408	"Preparations of vegetables, fruit, nuts or other parts of plants"	"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
"BWA"	21	2000	226141	19004815360	"Miscellaneous edible preparations"	"MISCELLANEOUS EDIBLE PREPARATIONS"
"BWA"	21	2023	1870831	130627829760	"Miscellaneous edible preparations"	"MISCELLANEOUS EDIBLE PREPARATIONS"
"BWA"	22	2000	167512	46199173120	"Beverages, spirits and vinegar"	"BEVERAGES, SPIRITS AND VINEGAR"
"BWA"	22	2023	1956453	193387069440	"Beverages, spirits and vinegar"	"BEVERAGES, SPIRITS AND VINEGAR"
"BWA"	23	2000	3941380	20435748864	"Food industries, residues and wastes thereof; prepared animal fodder"	"RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
"BWA"	23	2023	5040438	125888372736	"Food industries, residues and wastes thereof; prepared animal fodder"	"RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
"BWA"	24	2000	33747	23625383936	"Tobacco and manufactured tobacco substitutes"	"TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
