countrycode	country	pop1960	hc1960	cgdpo1960	cn1960	pop2000	hc2000	cgdpo2000	cn2000	region
"RWA"	"Rwanda"	3.0223021	1.049066	2958	446.2129	7.933681	1.356151	7358	8301.766	"Sub-Saharan Africa"
"SAU"	"Saudi Arabia"					20.663843	2.231003	471430	1543756	"Middle East & North Africa"
"SDN"	"Sudan"					27.275015	1.386449	61601	98611.07	"Sub-Saharan Africa"
"SEN"	"Senegal"	3.2240795	1.052568	8337	30968.7	9.797734	1.312416	27087	90106.91	"Sub-Saharan Africa"
"SGP"	"Singapore"	1.6446349	1.45771	2515	14719.84	4.028871	2.721524	170724	506261	"East Asia & Pacific"
"SLE"	"Sierra Leone"					4.584571	1.360253	4598	16744.45	"Sub-Saharan Africa"
"SLV"	"El Salvador"	2.631125	1.269572	1777	1675.307	5.887936	1.880301	13510	20537.71	"Latin America & Caribbean"
"SRB"	"Serbia"					7.516346	2.813468	58391	401816.4	"Europe & Central Asia"
"SVK"	"Slovakia"					5.399211	3.252471	83957	345075.1	"Europe & Central Asia"
"SVN"	"Slovenia"					1.987717	3.264191	46834	243271.2	"Europe & Central Asia"
"SWE"	"Sweden"	7.491661	2.518878	97402	407116	8.88164	3.181832	351834	1474444	"Europe & Central Asia"
"SWZ"	"Eswatini"					1.005435	1.67633	8599	22494.51	"Sub-Saharan Africa"
"SYR"	"Syrian Arab Republic"	4.599544	1.225659	10849	36340.58	16.410848	2.163438	26256	43630.98	"Middle East & North Africa"
"TGO"	"Togo"	1.56812	1.047604	1804	7088.223	4.924402	1.703795	7019	16418.04	"Sub-Saharan Africa"
"THA"	"Thailand"	27.359699	1.346281	31973	74384.27	62.952642	2.241505	481151	2956041	"East Asia & Pacific"
"TJK"	"Tajikistan"					6.216341	3.16362	7453	80904.24	"Europe & Central Asia"
"TTO"	"Trinidad and Tobago"	.83265923	1.927115	8107	8707.127	1.267153	2.771203	19150	32766.4	"Latin America & Caribbean"
"TUN"	"Tunisia"	4.1131815	1.089583	6879	14382.11	9.70835	1.872125	87420	367073.7	"Middle East & North Africa"
"TUR"	"Turkey"	27.521069	1.221451	140517	328227.7	63.240194	1.996501	821823	2156879	"Europe & Central Asia"
"TZA"	"U.R. of Tanzania: Mainland"	10.05799	1.3049	11315	20441.69	32.58318	1.498783	38881	147306.3	"Sub-Saharan Africa"
"UGA"	"Uganda"	7.0104316	1.147235	6033	6612.5	23.650172	1.678107	29964	45634.49	"Sub-Saharan Africa"
"UKR"	"Ukraine"					48.838065	3.071187	226173	2787092	"Europe & Central Asia"
"URY"	"Uruguay"	2.5185403	1.8077	18699	33385.45	3.319736	2.544986	39024	136629.2	"Latin America & Caribbean"
"USA"	"United States"	184.60188	2.721251	3540699	1.47e+07	281.71091	3.578583	14156661	4.94e+07	"North America"
"VNM"	"Viet Nam"					79.910412	1.972043	190507	324533.1	"East Asia & Pacific"
"YEM"	"Yemen"					17.409072	1.173809	23776	18925.69	"Middle East & North Africa"
"ZAF"	"South Africa"	16.903384	1.738749	110542	243923.5	44.967708	2.086037	432538	1047925	"Sub-Saharan Africa"
"ZMB"	"Zambia"	3.198477	1.277846	5622	15894.6	10.415944	2.066467	13601	112132	"Sub-Saharan Africa"
"ZWE"	"Zimbabwe"	3.8471124	1.242618	9290	14725.18	11.881477	2.068792	39853	86325.73	"Sub-Saharan Africa"
