iso	year	xiso	xsoccer
"VNM"	2008	61976.348	18.78168
"VNM"	2009	56415.283	17.7739
"VNM"	2010	70804.946	21.32451
"VNM"	2011	95045.515	22.94304
"VNM"	2012	117881.34	28.25398
"VNM"	2013	134847.67	41.81629
"VNM"	2014	152131.17	57.43517
"VNM"	2015	172997.79	64.13744
"VNM"	2016	191091.39	65.66108
"VNM"	2017	231900.14	80.31963
"VNM"	2018	265151.54	96.29848
"VNM"	2019	287839.44	117.4335
"VNM"	2020	306825.13	103.7022
